;Área Marina Protegida Yaganes;2018;Sistema Nacional de Áreas Marinas Proteg;6883431;-56.93301;-65.4582;Ley Nacional 27.490/18;Mar Argentino;-;90;90;0;0;0
;Área Marina Protegida Namuncurá - Banco Burdwood II;2018;Sistema Nacional de Áreas Marinas Proteg;3233630;-55.18245;-59.80421;Ley Nacional 27.490/18;Mar Argentino;-;125;124;0;0;0
;Área Marina Protegida Namuncurá - Banco Burdwood I;2013;Sistema Nacional de Áreas Marinas Proteg;2800000;-54.33145;-59.23917;Ley Nacional 26.875/19;Mar Argentino;-;151;150;0;0;0
Buenos Aires;Parque Nacional Ciervo de los Pantanos;2018;Región Centro Este;5200;-34.2345;-58.87724;Ley Nacional 27.456/18;Delta e Islas del Paraná;Sitio RAMSAR;936;469;1;1;465
Buenos Aires;Parque Nacional Campos del Tuyú;2009;Región Centro Este;3040;-36.35444;-56.87624;Ley Nacional 26.499/09;Pampa;Sitio RAMSAR;555;347;0;0;208
Buenos Aires;Reserva Natural Silvestre Marismas del Tuyú;2023;Región Centro Este;352;-36.33159;-56.78471;Decreto Nacional Nº 123/23 123;;Sitio RAMSAR;0;0;0;0;0
Chaco;Reserva Natural Educativa Colonia Benítez;1990;Región Noreste;8;-27.31754;-58.94984;Decreto Nacional 2.149/90;Chaco Húmedo;-;496;238;0;2;256
Chaco;Parque Nacional Chaco;1954;Región Noreste;14981;-26.82658;-59.65506;Ley Nacional 14.366/54;Chaco Húmedo;-;1134;806;1;46;281
Chaco;Parque Nacional El Impenetrable;2014;Región Noreste;128000;-25.00468;-61.10564;Ley Nacional 26.996/14;Chaco Seco;-;167;72;0;0;95
Chaco;Parque Nacional Laguna El Palmar;2023;Región Noreste;5600;-27.18443;-58.67282;Ley Nacional 27707;;Sitio RAMSAR;0;0;0;0;0
Chubut;Parque Nacional Los Alerces;1937;Región Patagonia Norte;259822;-42.84453;-71.83818;Decreto Nacional 105.433/37;Bosques Patagónicos;Reserva de Biósfera, Sitio de Patrimonio Mundial;1161;394;17;153;586
Chubut;Parque Nacional Lago Puelo;1937;Región Patagonia Norte;27674;-42.17903;-71.68728;Decreto Nacional Decreto Nac. 105.433/37 - Ley Nac. 19.292/71;Bosques Patagónicos;Reserva de Biósfera;1179;275;0;124;758
